"Date(UTC)","OrderNo","Pair","Type","Side","Order Price","Order Amount","Time","Executed","Average Price","Trading total","Status"
"2025-03-10 22:37:39","395291073","FDUSDUSDT","Limit","BUY","0.9979","1000FDUSD","2025-03-10 22:41:28","0FDUSD","0","0USDT","CANCELED"
"2025-03-03 23:10:26","25326802","BTCEURI","Limit","BUY","82022.28","0.3BTC","2025-03-04 00:03:04","0.3BTC","82022.28","24606.684EURI","FILLED"
"2025-03-03 23:03:15","17374366","EURIUSDT","Limit","BUY","1.0491","41300EURI","2025-03-03 23:03:15","41300EURI","1.0491","43327.83USDT","FILLED"
"2025-03-03 22:28:57","12858622","ETHEURI","Limit","BUY","2033.33","3.86ETH","2025-03-04 00:44:04","3.86ETH","2033.33","7848.6538EURI","FILLED"
"2025-03-03 22:27:38","12858484","ETHEURI","Limit","BUY","2022.22","6ETH","2025-03-04 01:09:27","6ETH","2022.22","12133.32EURI","FILLED"
"2025-02-13 10:41:23","532879552","WIFFDUSD","Limit","SELL","1.567","500WIF","2025-02-13 10:41:23","0WIF","0","0FDUSD","NEW"
"2025-02-13 10:26:03","1337335112","SOLUSDC","Limit","BUY","182.82","40SOL","2025-02-17 05:01:35","40SOL","182.82","7312.8USDC","FILLED"
"2025-02-13 09:51:12","1189502142","CAKEUSDT","Limit","SELL","4.04","1500CAKE","2025-02-13 09:51:12","0CAKE","0","0USDT","NEW"
"2025-02-12 21:50:13","1335218930","SOLUSDC","Market","BUY","0","5.104SOL","2025-02-12 21:50:13","5.104SOL","195.9","999.8736USDC","FILLED"
"2025-02-12 21:37:03","1335185488","SOLUSDC","Limit","BUY","195.19","50SOL","2025-02-13 00:49:14","50SOL","195.19","9759.5USDC","FILLED"
"2025-02-12 21:32:30","1335177037","SOLUSDC","Limit","BUY","193.33","50SOL","2025-02-13 06:48:52","50SOL","193.33","9666.5USDC","FILLED"
"2025-02-12 21:31:08","1335173302","SOLUSDC","Limit","BUY","191.91","100SOL","2025-02-13 09:00:27","100SOL","191.91","19191USDC","FILLED"
"2025-02-11 10:51:33","83962880","POLFDUSD","Limit","BUY","0.3131","2000POL","2025-02-11 13:54:48","2000POL","0.3131","626.2FDUSD","FILLED"
"2025-02-11 10:49:28","83962427","POLFDUSD","Limit","BUY","0.3033","4000POL","2025-02-12 13:35:23","4000POL","0.3033","1213.2FDUSD","FILLED"
"2025-02-10 12:43:39","10953266","FDUSDUSDC","Limit","SELL","0.9998","47000FDUSD","2025-02-11 06:10:07","47000FDUSD","0.9998","46990.6USDC","FILLED"
"2025-02-10 12:14:37","807273986","USDCUSDT","Limit","BUY","0.9999","100USDC","2025-02-10 12:14:37","100USDC","0.9999","99.99USDT","FILLED"
"2025-02-10 11:54:20","531061663","WIFFDUSD","Limit","BUY","0.444","10000WIF","2025-02-10 11:54:20","0WIF","0","0FDUSD","NEW"
"2025-02-03 22:29:28","1148787331","CAKEUSDT","Limit","SELL","4.444","1500CAKE","2025-02-03 22:29:28","0CAKE","0","0USDT","NEW"
"2025-02-03 08:46:52","526274048","WIFFDUSD","Limit","SELL","2.567","500WIF","2025-02-03 08:46:52","0WIF","0","0FDUSD","NEW"
